Sl. No.,Heads of Crime,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
682,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,121,14,13,11
683,D.CRIME AGAINST CHILDREN,POCSO Act,NA,3006,233,291,263
684,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,10,0,2,2
685,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,81,8,21,2
686,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,110,1,22,5
687,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,0
688,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,76,15,6,7
689,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,222,31,25,20
690,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,35,5,3,3
691,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,6,1,0,0
692,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,1442,108,170,173
